,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.7,Signature.8,Signature.9,Signature.10,Signature.11,Signature.12,Signature.13,Signature.14,Signature.15,Signature.16,Signature.17,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.26,Signature.27,Signature.28,Signature.29,Signature.30,Unknown
WT13_1356,0.310027253,0,0.600842041,0,0,0,0,0,0,0,0,0,0,0,0.062290289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026840416
TA41_1938,0.209688077,0,0.739325833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05098609
WT21_222,0.299868682,0,0.606734239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093397079
WT13_1576,0.336430128,0,0.553241879,0,0,0,0,0,0,0,0,0,0,0,0.110327967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69E-08
WT13_842,0.104439907,0,0.501347269,0,0,0.244973764,0,0,0,0,0,0,0,0,0,0,0,0.089262637,0,0,0,0,0,0,0,0,0,0,0,0,0.059976423
WT13_864,0.329073782,0,0.563950381,0,0,0,0,0,0,0,0,0,0,0,0.106975811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59E-08
WT21_1066,0.090141925,0,0.390836352,0.254499169,0,0.147234086,0,0,0,0,0,0,0,0,0,0,0,0.078039477,0,0,0,0,0,0,0,0,0,0,0,0,0.03924899
WT13_1445,0.228328513,0,0.680781794,0,0,0,0,0,0,0,0,0.063825775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027063919
TA39_927,0.232653326,0,0.736252058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031094616
Neu_1357,0.62285435,0,0.09132696,0,0.129063447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089175635,0,0,0,0,0.067579608
Neu_1894,0.505915582,0,0.231097241,0,0.068276283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065993623,0.071361893,0,0,0,0,0,0.057355378
Neu_2187,0.631369463,0,0.123560821,0,0.067328222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098934708,0,0,0,0,0.078806786
PyMT_302,0.396849794,0,0,0.419611456,0,0.086771738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096767011
PyMT_3136,0.138797518,0,0,0.478891807,0,0,0,0,0,0,0,0.060591222,0,0,0,0,0,0,0,0,0,0,0,0.128580164,0,0,0,0,0,0,0.193139288
PyMT_3304,0.215854967,0,0.087119296,0.272675091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424350646
E2F5_3790,0.5378366,0,0.2810769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08777206,0,0,0,0,0.09331443
E2F5_3790_tumor2 ,0.4370911,0,0.3927183,0,0.09267651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775141
E2F5_3976   ,0.6779543,0,0.09915073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07451271,0,0,0,0,0.1483822
E2F5_5492   ,0.5320388,0,0.2529443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07169618,0,0,0,0,0.1433207
E2F5_5691   ,0.5878601,0,0.2703024,0,0,0.06277974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07905772,0,0,0,0,1.11E-16
