Gene,Count
Mctp1&Mir669e,9
D3Ertd254e&Sypl,9
Ddhd1,9
Dock9,9
Dph6,9
Nlrp2,9
Csde1,8
Galntl6,8
Lbhd1,8
Ndufc2,8
Dph7&G3bp1,7
Iqgap2&Lypd6b,7
Prkca,7
Cadm2,7
Lrrc24,7
Zbtb5,7
Lrp1b,7
Hras&Myc,7
Dcaf6&Trnau1ap,6
Cntn5,6
Tbc1d14,6
D330045A20Rik,6
Gpc5,6
Pde4d,6
2210408I21Rik,5
Eci1,5
Dnm3,5
Nipbl,5
Mgat3,5
Tpd52l1,4
1700011C11Rik,4
Gucy1a2&Skint5,4
Pced1b,4
Cps1&Mir466f-1,4
Ccser2,4
Cntnap2,4
Esr1,4
Ccdc124&Zfp950,4
Eea1,4
March1&Tmcc3,3
Mid1,3
Efcab14,3
Thsd7a,3
Bud31,3
Tek,3
Tmtc1,3
Klhl14,3
Cdh12,3
Sh3kbp1,3
Col19a1,3
Sparcl1,3
4933407E24Rik,3
Naaladl2,3
Setbp1,3
Cdh23&Kpna4,2
Hipk2&Zeb2,2
Ptprt,2
Mir378c,2
Wiz,2
Lrrc7,2
Alcam,2
Mir669e&Trip12,2
Nbas,2
Vmn2r94,2
Grm7,2
Rbm6,2
Slco1b2,2
Ttc6,2
Copg2,2
5430419D17Rik,2
Hars2&Kdm1a,2
Nkain2&Rab28,2
Cnih1&Ush2a,2
Btbd11&Ibtk,2
Ticrr,2
Necap1,2
Abca13,2
Slc6a16,2
Prrg4,2
Oxr1,2
Plac8l1,2
Srfbp1,2
Foxp1,2
Sgcz,2
Dock9&Hmox2,1
Ldlrad3,1
Sfswap,1
1700044C05Rik,1
Atg10,1
Erbb4&Extl3,1
Itga4,1
Slc44a5,1
Dlgap3,1
L1cam,1
Erbb4,1
Frem2,1
Crisp1,1
Tet2,1
Mir669a-4,1
Lrrc4c,1
Sema6d&Slc25a21,1
Gabra3,1
Pacrg,1
Mppe1,1
Agbl1,1
Ccdc178,1
Heph,1
Banf2,1
Mlycd,1
Pparg,1
Mroh1,1
Tfcp2,1
Jarid2,1
Galnt13,1
Gm6981&Pde4d,1
Ak5&Cdc20b,1
Slc10a2,1
Nkd1,1
Med13l,1
Frmd4b&Gabrb1,1
Slc28a1,1
Sgsm1,1
Nlgn1,1
Jag1,1
Nell2,1
Dennd5b&Usf1,1
Gm5441,1
Mir3471-1,1
Slc8a1,1
Csmd3,1
Zfhx3,1
Cps1,1
Cps1&Snhg12,1
Klra22,1
Ankrd6,1
Atp13a3,1
Msi2&Sun2,1
Rit2,1
Syt1,1
Adcy1,1
Fgfr2,1
Dpys,1
Taf4b,1
Acer3,1
Mctp2,1
Pcdh9,1
Nrxn3,1
Zfpm2,1
Esr1&Mdm4,1
Abl1,1
Fam163a,1
Sycp1&Sycp1-ps1,1
Klhl1,1
Dlc1,1
Chd9,1
Luc7l&Skint5,1
Brdt,1
Agbl4&Stk31,1
Anks1b,1
Prr14l,1
Sdhd,1
Pklr&Pomp,1
Pklr,1
1700123O12Rik,1
1-Mar,1
Gm20754,1
Snx13,1
Large,1
Orai3,1
Flt3&Gm30551,1
Plekha7,1
4930556G01Rik&Adh5,1
Ckap2l,1
Ldlrad4&Nin,1
Csgalnact1,1
Skint5,1
Adcy7,1
Malrd1,1
Vmn2r73,1
Atp13a5,1
Dync1i1,1
Shisa9,1
Tyms,1
Abca1,1
Spata4,1
