,Accuracy Score,F1 Score,Matthews Corr Coef Score
0,0.778169014,0.771902282,0.710623636
1,0.820422535,0.820135951,0.767779646
2,0.790492958,0.786040831,0.726471449
3,0.809859155,0.805117168,0.751414707
4,0.792253521,0.785885931,0.728312487
5,0.799295775,0.796724394,0.739222152
6,0.813380282,0.808314344,0.756414492
7,0.813380282,0.810116845,0.756889528
8,0.822183099,0.820225912,0.769944091
9,0.776408451,0.77297161,0.708556084
10,0.809859155,0.809536938,0.753665567
11,0.802816901,0.79910558,0.743012229
12,0.785211268,0.778525447,0.718733517
13,0.799295775,0.796012218,0.737947719
14,0.792253521,0.788350609,0.729641258
,,,
Average,0.800352113,0.796597737,0.739908571
StDev,0.014469095,0.015738734,0.019428871
